23.2,0,1.7,0.68,16.9,0.9,11.92
22.7,0,1,0.76,18.2,0.7,12.72
21.7,0.3,1.3,0.88,19.6,0.3,5.76
21.7,0.5,1.8,0.92,20.3,-0.1,5.93
21.3,2.1,1.7,0.95,20.4,-0.6,2.12
21.8,0.1,0.8,0.96,21.1,-0.9,2.33
22.2,0.1,0.4,0.94,21.1,-1.8,3.33
22.6,0.1,0.7,0.95,21.7,-2.5,2.45
22.7,0.4,1.7,0.95,21.8,-2.5,1.96
22.9,0.7,0.3,0.94,21.8,-3.7,2.97
24.1,0.2,0.3,0.95,23.2,-4.5,2.18
24.4,2.5,2.2,0.97,23.8,-4.2,3.17
25.5,0,3.2,0.95,24.6,-4.9,10.13
26.4,0,4.2,0.9,24.6,-5.3,10.7
26.6,0.7,3.4,0.89,24.6,-5.6,6.38
26.4,0.9,4.2,0.89,24.4,-6,9.04
26.1,0.8,3.6,0.91,24.5,-6.1,5.46
25.7,3.4,3.3,0.94,24.6,-6.3,5.7
25.3,8.6,3.7,0.96,24.6,-5.6,1.58
24.9,8.9,2.6,0.96,24.2,-5.6,15.12
24.5,3.4,1.4,0.96,23.8,-5.3,3.89
24.1,5.4,1.4,0.96,23.4,-6,9.9
23.7,1.8,2.8,0.97,23.1,-6.1,9.5
23.2,12.8,2.3,0.97,22.6,-6.3,1.24
23,22.2,1.3,0.97,22.4,-6.6,3.54
22.9,4.8,2.3,0.98,22.5,-6.5,16.74
23.1,0,0.4,0.97,22.5,-6,20
23.7,0,1.6,0.97,23.1,-5.6,20
24.3,0,3,0.92,22.9,-5.3,20
24.2,0,3.4,0.87,21.8,-4.6,20
25.1,0,3.6,0.84,22.1,-3.8,20
26.4,0,3.2,0.75,21.6,-4.6,20
27.2,0,2.6,0.71,21.4,-4.7,20
28.3,0,2.9,0.65,21,-4.9,20
29.1,0,1.9,0.65,21.8,-5.9,20
29.6,0,2.5,0.64,22,-6.2,20
29.4,0,1.7,0.67,22.6,-5.9,20
28.6,0,2.4,0.69,22.3,-5.1,20
27.4,0,2,0.75,22.5,-4.7,20
25.9,0,1.3,0.79,21.9,-4.5,20
24.5,0,1.7,0.85,21.8,-4.1,14.25
24.1,0,1.8,0.87,21.7,-3.7,17.83
23.8,0,0.9,0.9,22,-4,18.81
23.7,0,1.1,0.91,22.1,-4.1,19.25
23.6,0,0.7,0.92,22.2,-4.9,16.36
23.6,0,0.1,0.93,22.3,-5.8,3.81
23.4,0.1,1.2,0.96,22.7,-6.8,8.27
23.4,0,0.6,0.96,22.7,-7.1,9.23
23.5,0,0.4,0.96,22.8,-6.9,9.41
23.5,0,0.6,0.96,22.8,-7.8,10.95
23.6,0.1,0.1,0.96,22.9,-7.9,8.21
23.9,0,0.6,0.96,23.2,-7.9,11.42
24.4,0,1.5,0.94,23.3,-7.1,13.36
24.6,0,1.1,0.9,22.8,-7.4,20
25.5,0,1,0.85,22.7,-7.8,20
25.9,0,1.4,0.83,22.7,-8,20
25.6,0,3.9,0.81,22,-8.1,20
25.2,0,2.6,0.82,21.9,-8.4,20
25.7,0,1.2,0.81,22.1,-8.6,20
26.3,0,1.9,0.78,22.1,-9,20
25.6,0,2.5,0.79,21.6,-9.5,20
24.5,0,2.7,0.84,21.6,-8.8,20
23.6,0,1.8,0.91,22,-8.2,18.94
24.1,0,1.9,0.87,21.7,-8,20
24.2,0,1.4,0.86,21.7,-7.8,18.15
24,0,1.7,0.87,21.6,-7.6,20
23.9,0,1,0.88,21.7,-7.3,20
23.6,0.1,1,0.91,22,-6.7,11.93
21,9.1,1,0.95,20.1,-8,17.67
20,0.1,0.9,0.96,19.3,-7.5,15
20.2,0,0.7,0.97,19.7,-7.3,12.32
20,0,1,0.98,19.6,-6.6,13
20.1,0,0.6,0.98,19.7,-6.7,7.2
20.3,0,0.6,0.98,19.9,-6.1,7.06
21.3,0,0.7,0.98,20.9,-5.5,5.68
22.6,0,0.7,0.96,21.9,-5.2,17.46
24.7,0,1.8,0.9,22.9,-5.1,20
24.9,0,1.5,0.85,22.1,-4.9,20
26.5,0,1.6,0.78,22.3,-4.7,20
27.2,0,2.3,0.72,21.7,-4.6,20
28.9,0,1.3,0.67,22.1,-4.7,20
29.4,0,2.5,0.64,21.8,-4.7,20
30.3,0,1.6,0.6,21.6,-4.8,20
30.5,0,2.7,0.59,21.5,-4.9,20
30.8,0,1.8,0.56,21,-4.9,20
30.1,0,1,0.6,21.4,-4.9,20
28.5,0,2,0.68,22,-4.1,20
27.1,0,1.8,0.72,21.6,-3.4,19.51
26,0,1.6,0.79,22,-2.7,15.74
25.4,0,1.4,0.83,22.2,-1.8,13.54
25.1,0,1.4,0.83,22,-1.2,16.66
24.8,0,1.8,0.85,22,-0.4,10.62
24.8,0,1.3,0.87,22.4,-0.4,6.77
24.5,0,0.9,0.89,22.5,-0.1,6.06
24.2,0,1.3,0.9,22.4,0.2,5.69
24.2,0,0.7,0.9,22.4,0.5,7.96
24,0,0.6,0.91,22.4,0.4,8.27
23.7,0,0.7,0.93,22.4,1,7.88
24.2,0,1.3,0.92,22.8,1.4,9.55
25.2,0,1.2,0.84,22.2,1.5,19.29
26.7,0,1,0.76,22.1,1.9,20
27.5,0,2,0.73,22.2,1.9,20
27.7,0,1.5,0.73,22.4,2.1,20
28.2,0,0.8,0.72,22.6,2,20
28.3,0,0.3,0.72,22.7,1.9,20
28.3,0,2.6,0.76,23.6,1.9,18.43
26.5,1.9,5,0.85,23.7,2.1,9.35
23.5,18.4,2.6,0.94,22.4,2,9.76
23.6,2.1,1,0.98,23.2,2.9,7.2
24,0,0.5,0.98,23.6,2.7,4.8
24.2,0,1,0.98,23.8,2.9,4.08
23.4,0,2.5,0.94,22.3,2.7,19.87
23.3,0,1.7,0.93,22,3,20
22.9,0,1.1,0.97,22.3,3.4,17.58
22.8,0,0.3,0.94,21.7,3.6,20
22.7,0,0.6,0.93,21.5,3.3,20
22,0,3.3,0.91,20.4,3.5,12.13
21.6,0.3,1.3,0.91,20,2.8,18.02
21.3,0,0.3,0.95,20.4,3.4,14.44
20.9,1.4,1.1,0.97,20.3,2.5,13.68
20.8,3.9,0.2,0.97,20.3,2.3,4.54
20.5,12.3,0.9,0.98,20.1,2.2,1.89
20.6,11.5,0.8,0.98,20.2,2.2,3.09
20.7,3.9,0.6,0.98,20.3,2.2,12.5
21,2.4,1.5,0.98,20.6,1.7,18.53
21.6,0,3,0.98,21.2,1.3,20
23.5,0,2.2,0.94,22.4,1.4,20
25.1,0,1.4,0.88,22.9,0.9,20
24.2,3.1,2,0.92,22.8,1.2,2.12
23.3,10.7,1.3,0.97,22.7,1.4,4.83
22.4,17.8,3.1,0.98,22,1.8,3.13
22.3,10.3,1.7,0.98,21.9,1.8,1.56
22.3,0.9,1.2,0.98,21.9,2,18.18
22,9,2.6,0.98,21.6,2.6,4.08
21.9,9.6,0.5,0.98,21.5,2.3,7.63
21.7,5,1.8,0.98,21.3,2.6,1.28
21.7,1.4,0.8,0.98,21.3,2.5,13.54
21.6,0.8,0.7,0.98,21.2,2.5,20
21.6,0.6,0.6,0.98,21.2,2.2,14.06
21.6,15,2.2,0.98,21.2,2.5,1.33
21.4,12.2,0.6,0.98,21,2.1,2.39
21.4,0.4,0.3,0.98,21,1.9,11.87
21.3,4.6,1.7,0.98,20.9,1.3,0.43
21.2,3.2,0.6,0.98,20.8,0.3,1.63
21.2,1.9,0.6,0.98,20.8,0.4,4.64
21,9.5,1.7,0.98,20.6,0.4,12.47
21.2,0.5,1.4,0.98,20.8,0.4,20
21.6,0.1,0.9,0.98,21.2,0.8,20
22.4,0,0.3,0.98,22,0.9,20
23,0,0.3,0.96,22.3,0.8,20
23.9,0.1,0.8,0.92,22.5,0.9,20
23.8,0,1.4,0.95,22.9,1.1,20
24,2.9,1.1,0.97,23.4,0.7,13.06
24.2,0.1,0,0.97,23.6,0.2,20
23.7,0.1,1.5,0.98,23.3,0.4,19.87
23.6,2.3,1.4,0.98,23.2,0.3,5.77
23.7,2.7,0.5,0.98,23.3,-0.2,8.61
23.7,2.3,0.6,0.98,23.3,-0.7,11.88
23.7,0.2,0.4,0.98,23.3,-1,19
23.4,0,1,0.98,23,-0.5,18.69
23.3,0,0.8,0.98,22.9,-0.2,11.45
23.1,0.2,0.4,0.98,22.7,-0.3,7.61
23,0.6,0.5,0.98,22.6,-0.3,8.81
22.9,0,0.2,0.98,22.5,-1,7.68
22.8,0,1,0.98,22.4,-1.9,9.28
22.6,0,1.5,0.98,22.2,-2.6,7.76
22.6,0,1.4,0.98,22.2,-3,3.75
22.5,0,0.1,0.98,22.1,-3.4,4.91
22.4,0,1.5,0.98,22,-3.6,5.68
22.4,0,0.8,0.98,22,-4,6.16
23.1,0,1.3,0.98,22.7,-4.6,6.12
24.2,0,1.5,0.98,23.8,-4.9,11.16
26.1,0,1.8,0.9,24.3,-5.5,20
26.8,0,2.9,0.82,23.4,-6,20
27,0,3.2,0.81,23.4,-6.8,20
28,0,2.4,0.77,23.5,-7.9,20
27.7,0,2.5,0.78,23.5,-9.1,20
27.5,0,2.8,0.76,22.8,-9.8,20
27.9,0,3.9,0.77,23.4,-10.2,20
27.5,0,4.1,0.76,22.8,-10.8,20
27.4,0,3.3,0.75,22.5,-11.4,20
26.7,0,2.9,0.75,21.8,-12.2,20
26.2,0,1.8,0.78,22,-12.1,20
25.8,0,0.9,0.79,21.8,-12.3,20
25.6,0,2.2,0.79,21.6,-12.3,20
25,0,1.8,0.81,21.5,-12.6,20
24.7,0,1.1,0.85,22,-12.5,20
24.4,0,0.3,0.85,21.7,-12.7,20
24.2,0,1.8,0.88,22,-12.9,20
23.9,0,0.3,0.9,22.1,-12.7,17.71
24,0,0.6,0.89,22,-12.4,15.23
23.9,0,0.6,0.9,22.1,-12,20
23.7,0,0.8,0.91,22.1,-11.6,20
23.4,0,0.6,0.92,22,-11.2,20
24.4,0,0,0.9,22.6,-10.3,20
25.1,0,0.6,0.87,22.7,-10,20
26.9,0,1.1,0.83,23.7,-10,20
28.4,0,0.9,0.76,23.7,-9.9,20
28.9,0,2.6,0.75,24,-9.8,20
29.4,0,1.1,0.74,24.2,-9.7,20
30,0,2.9,0.71,24.1,-9.8,20
30.1,0,3.1,0.72,24.4,-9.8,19.26
29.7,0,3.3,0.74,24.5,-9.7,20
29.4,0,3.1,0.74,24.2,-9.5,20
29.6,0,3,0.71,23.7,-9.3,20
29.4,0,2.5,0.7,23.3,-9.1,20
28,0,3.2,0.76,23.3,-8.4,20
26.9,0,2,0.81,23.3,-8.1,20
25.8,0,1.7,0.86,23.2,-7.4,20
25,0,2.9,0.87,22.6,-6.3,19.87
24.6,0,2,0.88,22.4,-5.7,19.75
24.3,0,1.3,0.88,22.1,-5.5,20
24.1,0,0.7,0.89,22.1,-5.6,14.24
24.2,0,0.8,0.89,22.2,-5.6,7.86
24.1,0,0.7,0.9,22.3,-5.8,8.46
24,0,0.5,0.9,22.2,-5.8,12.02
23.9,0.1,0.4,0.93,22.6,-5.8,8.2
23.8,0,0.6,0.94,22.7,-5.5,9.59
24,0,0,0.95,23.1,-5.4,8.11
24.3,0,0,0.95,23.4,-4.9,9.3
24.8,0,0.2,0.92,23.4,-4.7,11.03
25.2,0,0.4,0.9,23.4,-4.7,10.32
26.9,0,2.1,0.82,23.5,-4.8,19.87
28.4,0,1.4,0.75,23.5,-5.2,20
29.5,0,1.4,0.71,23.6,-5.4,20
30,0,2.1,0.67,23.1,-6.1,20
29.8,0,2.6,0.7,23.7,-6.3,20
29.4,0,2.5,0.7,23.3,-6.7,20
26.2,0.7,2.4,0.88,24,-5.9,5.23
25.7,0.1,1.2,0.9,23.9,-5.7,20
25.5,0,0.7,0.94,24.4,-4.8,19.51
25.2,0,1,0.93,23.9,-4,19.75
24.4,3.3,0.5,0.96,23.7,-2.9,3.28
23.8,10.6,0.9,0.97,23.2,-2.3,2.67
23.6,4.1,1.6,0.97,23,-2.3,7.38
23.3,0.5,0.9,0.97,22.7,-2,19.76
22.9,0,2.4,0.97,22.3,-1.9,17.96
22.8,0,0.4,0.96,22.1,-2,17.83
22.7,0,0.4,0.94,21.6,-2,20
22.4,0,0.8,0.95,21.5,-1.8,20
22,0,2.5,0.91,20.4,-1.6,20
22.2,0,1.7,0.89,20.2,-1.4,20
21.7,1.4,1.1,0.96,21,-0.8,13.33
21.7,0.9,2.9,0.95,20.8,-0.4,16.47
21.6,1.5,2,0.95,20.7,0,15.45
21.9,0.1,3.5,0.93,20.7,-0.1,18.31
22.1,0,3.3,0.89,20.1,0.3,20
21.6,0.3,0.9,0.94,20.5,0.3,10.39
22.1,2.6,1.3,0.94,21,-0.2,16.71
22.4,0,1.7,0.92,21,-0.5,11.23
23.4,0,3.3,0.86,20.9,-0.9,20
24.2,0,2.2,0.8,20.5,-0.9,20
24.1,0,2.4,0.83,21,-0.8,20
23.9,0,3,0.78,19.8,-0.8,20
23.4,0,3,0.78,19.3,-0.1,20
22.8,0,5,0.8,19.1,0.4,20
21.9,0,2.6,0.82,18.6,0.8,18.53
21.3,0,3.7,0.8,17.7,1.5,20
20.9,0,3.8,0.81,17.5,1.6,20
20.6,0,3.6,0.79,16.8,1.8,20
20.4,0,2.6,0.76,16,1.6,20
19.7,0,2,0.78,15.7,1.8,20
19.5,0,2.8,0.77,15.3,1.9,20
18.9,0,2.7,0.81,15.5,2.2,20
19.1,0,2.7,0.79,15.3,2.3,20
19.2,0,2.7,0.8,15.6,2.5,20
20.1,0,1.6,0.77,15.9,2.8,20
21.5,0,3.3,0.72,16.2,3,20
23,0,3.4,0.71,17.4,2.8,20
24.3,0,3.3,0.67,17.7,2.5,20
25.2,0,3.3,0.64,17.8,2.5,20
25.3,0,3,0.62,17.4,2.5,20
26.7,0,3.3,0.64,19.3,2.2,20
27,0,2.7,0.59,18.2,1.7,20
27.3,0,3.3,0.62,19.3,1.2,20
27.3,0,3.6,0.59,18.5,1,20
26.7,0,3.1,0.63,19,1.2,20
25.8,0,3.8,0.65,18.7,1.2,20
24.8,0,3.2,0.67,18.2,1.7,20
23.8,0,2.7,0.68,17.5,2,20
23.2,0,4,0.7,17.4,2.4,16.65
22.6,0,4,0.72,17.2,3.3,20
21.3,0,3.9,0.67,14.9,4.2,20
20.3,0,2.3,0.72,15,4.1,20
19.5,0,2.7,0.72,14.3,4.1,20
18.9,0,3.5,0.75,14.3,3.9,20
18.4,0,4.3,0.76,14,4,20
18,0,4,0.78,14,4.3,20
17.7,0,3.7,0.8,14.1,4.4,20
17.7,0,0.7,0.81,14.3,4.5,20
19,0,3.5,0.78,15,4.6,20
20,0,3.1,0.76,15.6,4.9,20
22.4,0,3,0.71,16.8,4.7,20
22.5,0,3.9,0.71,16.9,4.9,20
23,0,3.9,0.67,16.5,5.2,20
24.2,0,2.2,0.67,17.6,5.1,20
25.4,0,3.4,0.63,17.8,4.6,20
25.5,0,3.5,0.65,18.4,4.2,20
