23.2,0,1.7,0.68,16.9,0.9,11.92
25.7,0,2.6,0.66,18.8,4.1,20
25.7,0,3.2,0.66,18.8,3.9,20
25.3,0,2.9,0.67,18.7,3.9,20
25,0,2.3,0.69,18.9,4.3,20
23.7,0,3.9,0.73,18.5,4.7,20
23,0,4,0.75,18.3,5.3,20
22.8,0,3.4,0.76,18.3,5.9,20
22.4,0,3.4,0.77,18.1,6.2,20
22.1,0,3.9,0.79,18.2,6,20
21.8,0,3.7,0.8,18.1,5.9,20
21.3,0,4,0.83,18.2,5.9,20
21.2,0,3.4,0.83,18.1,6.3,17.31
20.9,0,3.4,0.84,18,6.3,20
20.7,0,3.8,0.84,17.8,6.5,20
20.6,0,3.2,0.84,17.7,6.5,20
20.5,0,3.3,0.85,17.8,6.8,20
20.6,0,0.9,0.85,17.9,7.4,20
20.2,0.1,3.6,0.88,18.1,7.5,17.73
20,0.2,3.1,0.91,18.4,7.6,14.67
19.3,7.1,2.3,0.97,18.8,8,1.78
19.7,14,1.3,0.97,19.2,8,9.34
19.6,4.6,2.3,0.97,19.1,8.1,3.97
19.9,5.4,0.8,0.97,19.4,7.9,3.96
20.1,4.1,1,0.97,19.6,7.8,17.13
20.5,0,0.4,0.96,19.8,7.6,17.09
20.5,0,3.3,0.96,19.8,7.3,20
20.7,0,3.5,0.96,20,6.9,20
20.8,0,3.1,0.96,20.1,6.6,20
21,0,2.1,0.95,20.1,7.2,20
20.6,0,3.8,0.94,19.5,7.1,20
20.6,0,2.5,0.95,19.7,7.6,20
20.7,0,2.9,0.94,19.6,8.2,20
20.8,0,2.6,0.94,19.7,8.5,18.63
20.9,0,2.5,0.93,19.7,8.2,20
21,0,1.6,0.93,19.8,7.6,19.07
20.9,0,1.8,0.93,19.7,7.1,20
20.9,0,2.8,0.94,19.8,6.5,16.38
20.9,0,1.7,0.93,19.7,6.6,20
20.6,0,1.9,0.94,19.5,6.9,20
20.7,0,0.8,0.94,19.6,7,20
21.3,0,1,0.93,20.1,7,20
22.6,0,2.4,0.89,20.6,7.1,20
24.7,0,1.2,0.81,21.2,7.4,20
25.7,0,0.5,0.78,21.5,8.1,20
27.1,0,0.8,0.75,22.2,8,20
28.4,0,1.6,0.74,23.3,7.3,20
29.4,0,1.3,0.71,23.5,7.2,20
29.8,0,0.6,0.75,24.8,6.8,20
30.4,0,2.3,0.66,23.3,6.1,20
30.8,0,3,0.68,24.2,5.6,20
31.1,0,2.9,0.66,23.9,5.7,20
30.3,0,1.9,0.68,23.7,5.7,20
29.7,0,1.8,0.71,23.8,6.3,20
28.9,0,1.1,0.72,23.3,6.6,20
28.1,0,2.1,0.76,23.4,7.1,18.56
27.4,0,1.9,0.79,23.4,7.6,20
26.8,0,0.2,0.82,23.4,7.4,18.42
26,0,0.2,0.87,23.6,7.3,17.05
25.6,0,0,0.9,23.8,7.3,15.19
25.1,0,0,0.92,23.7,7.3,13.28
24.9,0,0.8,0.93,23.6,7.2,13.22
24.6,0,0,0.94,23.5,7.3,11.88
24.5,0,0.4,0.94,23.4,7.3,11.9
24.4,0,0.1,0.95,23.5,7.6,11.95
25.1,0,0,0.93,23.8,7.9,14.25
25.3,0.2,0.2,0.95,24.4,8.3,10.88
26.6,0,0.1,0.9,24.8,8.5,13.1
27.8,0,0.4,0.84,24.8,8.3,14.44
28.9,0,0.3,0.78,24.6,8.3,18.88
30.3,0,1.5,0.75,25.3,7.9,20
31.4,0,1.8,0.65,24,7.4,20
31.8,0,2.2,0.65,24.3,6.9,20
32.3,0,3.6,0.63,24.3,6.5,20
32.2,0,1.8,0.64,24.5,6.2,20
32.7,0,1.8,0.63,24.7,6.1,15.51
32.1,0,1.9,0.66,24.9,6.1,20
30.7,0,1.3,0.71,24.8,6.5,20
29.8,0,0.6,0.77,25.3,6.8,20
28.9,0,0.5,0.83,25.7,7.4,20
28.4,0,0.7,0.86,25.8,7.5,20
28.2,0,0.5,0.87,25.8,7.4,20
27.5,0,0.7,0.9,25.7,6.9,19.01
27.2,0,0,0.9,25.4,6.8,17.78
27,0,1.4,0.91,25.3,6.4,15.26
26.7,0,0.2,0.92,25.2,6.1,13.83
26.4,0,0.5,0.92,24.9,6.2,13.41
26.1,0,1.3,0.91,24.5,6.2,16.83
25.9,0,1.3,0.91,24.3,6.3,17.36
26.4,0,0.1,0.9,24.6,6.5,18.95
27.3,0,1.2,0.82,23.9,6.5,20
28.1,0,1,0.79,24.1,6.7,19.87
28.9,0,1.8,0.73,23.5,6.9,20
30.1,0,2,0.69,23.7,6.9,20
30.7,0,1.5,0.68,24.1,6.7,20
31.5,0,2.5,0.67,24.6,5.8,20
32.2,0,1.2,0.64,24.5,5.3,20
32.1,0,1.9,0.65,24.6,4.9,20
32.9,0,1.8,0.65,25.4,4.6,20
32.7,0,1.9,0.64,24.9,4.2,20
32,0,2.1,0.65,24.5,4,20
30.7,0,2.2,0.68,24.1,4.3,20
29.6,0,1.9,0.73,24.2,4.5,20
28.8,0,0.9,0.75,23.9,5,19.23
28,0,1.7,0.79,24,5.5,20
27.5,0,1.2,0.82,24.1,5.8,20
27.3,0,0.7,0.83,24.1,5.9,20
27.1,0,0.5,0.84,24.1,5.5,19.87
26.8,0,1.7,0.87,24.4,5.4,11.83
26.6,0,0.6,0.89,24.6,5.4,14.6
26.4,0,1,0.88,24.2,5.4,19.87
26.2,0,0.2,0.88,24,5.4,20
26.2,0,0.4,0.88,24,5.5,17.24
26.5,0,0.6,0.89,24.5,5.6,13.83
26.9,0,0.3,0.89,24.9,6,13.12
27.9,0,0.8,0.82,24.5,5.9,19.38
28.7,0,1,0.77,24.2,5.6,20
29.6,0,1.4,0.73,24.2,5.5,20
30.9,0,2.4,0.66,23.7,5.2,20
30.6,0,1.2,0.71,24.7,4.8,20
31.3,0,1,0.64,23.6,4.4,20
31.3,0,1.4,0.7,25.1,3.8,20
31.3,0,1.2,0.66,24.1,3.6,20
32.3,0,2.1,0.55,22.1,3,20
31.8,0,1.7,0.59,22.7,2.8,20
31.1,0,1.8,0.62,22.9,2.8,20
29.7,0,1.8,0.65,22.4,3.3,20
28.5,0,1.5,0.75,23.6,3.9,20
27.8,0,1.4,0.81,24.2,4.5,19.76
27.3,0,1.9,0.81,23.7,4.5,19
26.9,0,1.8,0.81,23.3,4.2,20
26.2,0,1.8,0.84,23.2,3.9,16.62
25.9,0,0.6,0.86,23.3,3.8,20
25.9,0,0.4,0.88,23.7,4,18.22
25.8,0,0.6,0.89,23.8,4.4,20
25.6,0,0.8,0.9,23.8,4.7,19.07
25.5,0,0.5,0.9,23.7,4.8,19.13
25.9,0,0.9,0.89,23.9,5,17.35
27,0,0.8,0.82,23.6,5,20
27.5,0,0.9,0.74,22.4,4.7,20
29.2,0,0.5,0.7,23.1,4.3,20
30.1,0,1.6,0.65,22.7,4.3,20
30.9,0,1,0.63,23,3.8,20
31.9,0,1,0.61,23.4,3.6,20
31.7,0,2.1,0.66,24.5,3.4,20
31.6,0,1.2,0.64,23.9,3.4,20
31.7,0,2.1,0.63,23.7,3,20
32.4,0,2.1,0.61,23.9,2.7,20
32.3,0,0.8,0.59,23.2,2.3,20
31.2,0,1.3,0.65,23.8,2.4,20
30,0,1.8,0.72,24.3,2.6,20
29.1,0,1.2,0.75,24.2,2.9,18.57
28.1,0,1.1,0.76,23.4,3.7,20
27.4,0,1.4,0.8,23.6,3.9,20
26.5,0,0.8,0.84,23.5,3.8,20
25.7,0,2.5,0.87,23.3,4,20
25.6,0,0.8,0.88,23.4,4.3,8.57
25.6,0,0.4,0.88,23.4,4.6,20
25.5,0,1,0.88,23.3,4.6,18.66
25.1,0,0.6,0.9,23.3,5.1,20
24.8,0,0.8,0.92,23.4,5.1,20
25.7,0,0.5,0.88,23.5,5,20
27.3,0,0.5,0.83,24.1,5.3,20
28.3,0,0.6,0.75,23.4,5.5,20
29.9,0,0.8,0.67,23,5.5,20
31,0,1,0.64,23.3,5.3,20
32.1,0,1.3,0.62,23.8,5,20
33,0,1.1,0.57,23.3,4.4,20
33.5,0,1.6,0.58,24,3.9,20
33.7,0,1.7,0.55,23.3,3.4,20
34.2,0,2,0.53,23.2,3.1,20
33.6,0,1.8,0.58,24.1,2.9,20
33.2,0,1.2,0.56,23.2,2.7,20
32.2,0,1.2,0.59,23.1,3.1,20
30.6,0,0.9,0.69,24.2,3.4,20
29.7,0,1.4,0.76,25,3.9,20
28.9,0,0.9,0.79,24.8,4.4,20
28.3,0,0.5,0.8,24.5,4.6,20
27.5,0,0.4,0.82,24.1,4.8,20
27.1,0,0.4,0.84,24.1,4.8,20
26.3,0,0.7,0.86,23.7,4.7,13.49
26.2,0,0.2,0.85,23.4,4.9,11.62
26.1,0,0.4,0.87,23.7,4.9,17.64
25.8,0,0.6,0.85,23,5.2,20
25.7,0,0.5,0.83,22.5,5.5,20
26.4,0,0.5,0.81,22.8,5.4,20
27.5,0,0.6,0.77,23,5.4,20
28.9,0,0.7,0.75,24,5.7,16.94
30.5,0,1.2,0.72,24.8,5.5,17.94
31.7,0,1,0.66,24.5,5.1,19.87
32.7,0,1,0.61,24.1,4.9,20
33.3,0,1.5,0.64,25.5,4.5,20
32.5,0,1.4,0.65,25,4.2,20
33.7,0,1.3,0.61,25.1,3.7,20
34.2,0,1.4,0.55,23.8,3.4,20
33.2,0,2.5,0.6,24.3,3.2,20
33.4,0,1.8,0.58,24,3.1,20
31.9,0,2.6,0.66,24.7,3.4,20
30.4,0,1.5,0.7,24.3,3.7,19.87
29.3,0,1.3,0.71,23.4,4.2,19.87
28.8,0,0.9,0.69,22.5,4.7,13.33
28.2,0,1.5,0.72,22.6,4.7,9.77
27.5,0,1.4,0.74,22.4,4.8,11.03
27.2,0,1.3,0.75,22.3,4.9,11.58
26.5,0,1.6,0.75,21.6,5,15.67
26.2,0,1.1,0.73,20.9,5.2,13.63
26.2,0,0.8,0.74,21.1,5.4,18.62
25.8,0,0.4,0.78,21.6,5.2,19.04
25.5,0,1,0.78,21.3,5.2,18.19
25.9,0,0.6,0.78,21.7,5.1,18.41
27,0,1.9,0.72,21.5,5.3,20
28.5,0,1.5,0.67,21.7,5.2,19.87
29.7,0,2.1,0.63,21.8,4.8,20
31.3,0,1.8,0.59,22.3,4.7,20
32.1,0,3,0.53,21.3,4.2,20
32.9,0,1.9,0.55,22.6,3.9,20
32.9,0,2,0.57,23.2,3.7,20
33.1,0,1.5,0.56,23.1,3.4,20
32.8,0,2.2,0.57,23.1,3.3,20
32.4,0,2.5,0.62,24.1,3,18.19
31.8,0,2.6,0.65,24.3,3,14.72
30.6,0,1.9,0.69,24.2,3.3,16.41
29.1,0,1.1,0.76,24.4,3.4,10.14
28,0,0.7,0.82,24.6,3.9,5.81
27.3,0,1,0.84,24.3,4.2,5.87
27,0,0.4,0.84,24,4.2,5.52
26.5,0,0.6,0.87,24.1,4.2,5.47
26.1,0,0.8,0.89,24.1,4.1,5.21
26.1,0,1,0.88,23.9,4.2,6
25.7,0,0.7,0.9,23.9,4.4,5.41
25.3,0,0.5,0.91,23.7,4.6,4.4
25.3,0,0.2,0.92,23.8,4.8,3.47
24.8,0,0.3,0.94,23.7,5,3.57
25.6,0,0.1,0.91,24,5.1,3.59
26.8,0,0.7,0.85,24,5.3,4.38
28.8,0,0.9,0.77,24.3,5.3,6.11
30.3,0,0.7,0.69,23.9,5.1,11.5
31,0,0.8,0.65,23.6,4.9,11.32
31.5,0,1.2,0.64,23.8,4.9,11.77
32.1,0,1.4,0.63,24.1,4.4,13.78
32,0,1,0.66,24.8,3.8,14.09
32.6,0,0.4,0.6,23.8,3.2,15.72
32.2,0,0.6,0.65,24.7,2.8,15.01
32.6,0,1.7,0.61,24,2.4,18.54
32.6,0,2.1,0.59,23.5,2.4,19.75
31.4,0,1.6,0.65,24,2.4,17.56
29.7,0,0.9,0.74,24.5,2.6,12.96
29,0,1.4,0.76,24.3,3.1,11.12
27.9,0,1.5,0.78,23.7,3.5,9.17
27,0,0.2,0.81,23.4,3.6,8.08
26.6,0,1.4,0.81,23,3.7,9.34
25.8,0,0.6,0.83,22.6,3.7,11.2
25.9,0,0.8,0.77,21.5,3.7,18.3
25.6,0,0.2,0.79,21.6,3.7,15.36
25.5,0,1.1,0.81,21.9,3.9,13.15
24.9,0,1,0.83,21.8,4.3,14.78
24.8,0,0.3,0.84,21.9,4.6,13.83
25.7,0,0.4,0.82,22.3,4.8,11.35
27.1,0,0.6,0.76,22.4,4.6,12.58
29.3,0,0.6,0.72,23.7,4.6,14.67
30.6,0,0.5,0.66,23.5,4.4,12.59
31.9,0,0.9,0.63,23.9,4,17.21
32.5,0,1.2,0.62,24.2,3.6,18.22
33.4,0,1.6,0.58,24,3.1,17.97
34.1,0,1.6,0.58,24.6,2.6,17.65
33.8,0,1.1,0.58,24.3,2,16.8
34.4,0,1.6,0.56,24.3,1.6,18.33
32.8,0,2.2,0.61,24.2,1.2,16.22
31.9,0,1.8,0.64,24.2,1.3,18.87
31.2,0,1.8,0.65,23.8,1.6,19.57
29.3,0,1.1,0.69,23,1.7,19.63
28.7,0,0.6,0.71,22.9,2.1,20
28,0,0.8,0.72,22.4,2.5,15.99
27.3,0,0.7,0.73,22,2.5,20
26.8,0,0.4,0.75,21.9,2.6,20
26.2,0,0.6,0.75,21.4,2.4,20
25.5,0,1.2,0.78,21.3,2.3,20
25.1,0,0.5,0.8,21.3,2.1,20
24.5,0,0.6,0.84,21.6,1.8,20
24.2,0,0.5,0.86,21.7,2.1,17.9
23.7,0,0.9,0.88,21.5,2.3,20
24.8,0,0.5,0.85,22,2.5,20
26.8,0,0.2,0.75,21.9,2.6,19.87
28.5,0,0.6,0.72,22.9,2.5,17.28
30.4,0,0.6,0.67,23.5,2.5,14.82
32.5,0,0.7,0.6,23.7,2.2,14.43
33.8,0,1.2,0.59,24.6,1.8,13.71
34.2,0,0.4,0.57,24.4,1.4,15.4
34.5,0,0.9,0.56,24.4,0.7,14.3
35.2,0,1.2,0.58,25.6,0.4,15.64
33.6,0,1.4,0.61,25,0,14.5
34.5,0,1,0.57,24.7,-0.1,16.88
34.2,0,0.8,0.58,24.7,-0.2,16.9
32.9,0,0.5,0.62,24.6,0.3,16.49
31.3,0,0.9,0.7,25.1,0.6,14.22
30,0,0.9,0.77,25.5,1.1,12.25
29.8,0,1,0.77,25.3,1.2,10.52
29.3,0,0.6,0.8,25.4,1.5,9.87
28.6,0,0.7,0.83,25.4,1.6,6.74
27.9,0,0.9,0.81,24.3,1.5,6.92
27.3,0,0.7,0.81,23.7,1.3,7.7
26.8,0,0.3,0.83,23.6,1.2,6
26.2,0,0.8,0.87,23.8,1.1,8.47
25.8,0,0.7,0.88,23.6,1.4,7.83
25.6,0,0.5,0.9,23.8,1.7,7.33
26.3,0,0.2,0.88,24.1,2.2,7.3
27.9,0,0.4,0.81,24.3,2.3,5.8
29.8,0,0.6,0.76,25.1,2,5.78
29.8,0,0.6,0.76,25.1,2,5.78
